city_name,ZAPSANI_VOLICI,UCAST_PROC,P1_HLASY,P1_PROC,P2_HLASY,P2_PROC,P3_HLASY,P3_PROC,P4_HLASY,P4_PROC,P5_HLASY,P5_PROC,P6_HLASY,P6_PROC,P7_HLASY,P7_PROC,P8_HLASY,P8_PROC,P9_HLASY,P9_PROC,P10_HLASY,P10_PROC,P11_HLASY,P11_PROC,P12_HLASY,P12_PROC,P13_HLASY,P13_PROC,P14_HLASY,P14_PROC,P15_HLASY,P15_PROC,P16_HLASY,P16_PROC,P17_HLASY,P17_PROC,P18_HLASY,P18_PROC,P19_HLASY,P19_PROC,P20_HLASY,P20_PROC,P21_HLASY,P21_PROC,P22_HLASY,P22_PROC,P23_HLASY,P23_PROC,P24_HLASY,P24_PROC,P25_HLASY,P25_PROC,P26_HLASY,P26_PROC,population,Praha,Brno,Ostrava,Plzeň,Liberec,Olomouc,Ústí nad Labem,Hradec Králové,Pardubice,Zlín,České Budějovice,Jihlava,Karlovy Vary
Aš,9263,52.94,0,0.0,0,0.0,7,0.14,6,0.12,5,0.1,545,11.33,10,0.2,48,0.99,1,0.02,19,0.39,600,12.47,17,0.35,0,0.0,1,0.02,27,0.56,383,7.96,0,0.0,9,0.18,0,0.0,448,9.31,0,0.0,2107,43.8,367,7.62,0,0.0,202,4.19,8,0.16,12684,211.0,388.0,435.0,121.0,335.0,348.0,196.0,334.0,276.0,414.0,243.0,387.0,77.0
Benešov,12691,70.32,20,0.22,0,0.0,12,0.13,9,0.1,4,0.04,545,6.18,16,0.18,101,1.14,6,0.06,18,0.2,2154,24.45,21,0.23,0,0.0,2,0.02,45,0.51,773,8.77,17,0.19,5,0.05,0,0.0,596,6.76,0,0.0,2972,33.74,1161,13.18,13,0.14,310,3.51,7,0.07,17043,39.0,195.0,251.0,147.0,200.0,188.0,129.0,141.0,100.0,254.0,78.0,169.0,256.0
Beroun,15269,68.73,10,0.09,0,0.0,7,0.06,9,0.08,2,0.01,642,6.18,17,0.16,102,0.98,12,0.11,9,0.08,2852,27.48,22,0.21,0,0.0,5,0.04,47,0.45,1185,11.42,15,0.14,8,0.07,0,0.0,655,6.31,0,0.0,2840,27.37,1506,14.51,14,0.13,393,3.78,24,0.23,21521,44.0,217.0,264.0,45.0,223.0,195.0,121.0,138.0,114.0,264.0,152.0,194.0,210.0
Blansko,15435,71.01,0,0.0,34,0.31,10,0.09,10,0.09,7,0.06,794,7.3,16,0.14,182,1.67,5,0.04,26,0.23,2847,26.2,30,0.27,0,0.0,1,0.0,31,0.28,1056,9.72,10,0.09,13,0.11,0,0.0,621,5.71,0,0.0,3605,33.18,914,8.41,10,0.09,633,5.82,9,0.08,20002,170.0,20.0,160.0,252.0,264.0,103.0,236.0,113.0,78.0,156.0,270.0,150.0,361.0
Bohumín,16828,62.22,12,0.11,7,0.06,15,0.14,7,0.06,3,0.02,966,9.34,41,0.39,114,1.1,2,0.01,18,0.17,1317,12.73,23,0.22,0,0.0,14,0.13,38,0.36,642,6.2,19,0.18,4,0.03,0,0.0,616,5.95,0,0.0,5224,50.51,592,5.72,0,0.0,650,6.28,18,0.17,20315,203.0,151.0,6.0,297.0,316.0,70.0,281.0,181.0,140.0,110.0,303.0,294.0,414.0
Boskovice,9217,70.23,0,0.0,19,0.29,2,0.03,6,0.09,4,0.06,547,8.53,18,0.28,74,1.15,2,0.03,11,0.17,1622,25.3,13,0.2,0,0.0,1,0.01,20,0.31,588,9.17,4,0.06,4,0.06,0,0.0,459,7.16,0,0.0,2131,33.25,525,8.19,5,0.07,349,5.44,5,0.07,12508,138.0,43.0,209.0,297.0,272.0,125.0,261.0,144.0,81.0,198.0,278.0,201.0,406.0
Brandýs nad Labem-Stará Boleslav,13557,71.48,17,0.17,0,0.0,13,0.13,11,0.11,4,0.04,652,6.81,13,0.13,102,1.06,2,0.02,19,0.19,2807,29.32,20,0.2,0,0.0,4,0.04,39,0.4,1020,10.65,24,0.25,13,0.13,0,0.0,607,6.34,0,0.0,2429,25.37,1431,14.95,18,0.18,312,3.25,14,0.14,20313,56.0,225.0,230.0,149.0,164.0,164.0,78.0,109.0,82.0,253.0,178.0,144.0,243.0
Brno,301281,66.64,0,0.0,533,0.26,117,0.05,158,0.07,68,0.03,12979,6.54,262,0.13,2172,1.09,149,0.07,311,0.15,65061,32.79,439,0.22,0,0.0,56,0.02,702,0.35,26079,13.14,291,0.14,127,0.06,0,0.0,10420,5.25,0,0.0,49949,25.17,20922,10.54,166,0.08,7124,3.59,324,0.16,402739,150.0,0.0,128.0,259.0,256.0,86.0,243.0,133.0,92.0,116.0,251.0,118.0,368.0
Bruntál,12213,59.88,10,0.13,3,0.04,1,0.01,6,0.08,2,0.02,755,10.46,8,0.11,63,0.87,10,0.13,21,0.29,879,12.18,24,0.33,0,0.0,1,0.01,40,0.55,403,5.58,7,0.09,0,0.0,0,0.0,459,6.36,0,0.0,3416,47.34,514,7.12,0,0.0,580,8.03,13,0.18,15037,233.0,184.0,83.0,324.0,377.0,78.0,325.0,231.0,169.0,149.0,375.0,350.0,433.0
Bílina,11203,54.21,0,0.0,0,0.0,4,0.06,4,0.06,4,0.06,646,10.81,18,0.3,47,0.78,0,0.0,16,0.26,679,11.36,6,0.1,0,0.0,5,0.08,17,0.28,304,5.08,0,0.0,4,0.06,0,0.0,361,6.04,0,0.0,3277,54.85,333,5.57,0,0.0,243,4.06,6,0.1,14497,105.0,281.0,304.0,196.0,168.0,262.0,29.0,228.0,180.0,329.0,238.0,296.0,90.0
Břeclav,19586,65.0,0,0.0,22,0.17,11,0.08,6,0.04,3,0.02,1086,8.62,11,0.08,215,1.7,10,0.07,20,0.15,2696,21.4,25,0.19,0,0.0,3,0.02,34,0.26,1100,8.73,19,0.15,4,0.03,0,0.0,740,5.87,0,0.0,4866,38.63,983,7.8,12,0.09,717,5.69,11,0.08,24538,181.0,29.0,114.0,291.0,288.0,91.0,275.0,165.0,124.0,67.0,314.0,155.0,400.0
Cheb,22872,57.87,0,0.0,0,0.0,20,0.15,13,0.09,4,0.03,1447,11.04,16,0.12,147,1.12,1,0.0,33,0.25,1977,15.08,31,0.23,0,0.0,4,0.03,69,0.52,887,6.76,0,0.0,10,0.07,0,0.0,931,7.1,0,0.0,5339,40.74,1544,11.78,0,0.0,610,4.65,22,0.16,32808,169.0,345.0,371.0,79.0,302.0,305.0,161.0,275.0,233.0,394.0,200.0,344.0,44.0
