district_code,municipality_code,municipality_name,population,men,women,avg_age,avg_age_men,avg_age_women,
CZ0100,554782,Praha,1397880,679162,718718,41.9,40.4,43.3,
Okres Benešov,,,,,,,,,
CZ0201,529303,Benešov,17043,8058,8985,43.9,42.2,45.4,
CZ0201,532568,Bernartice,223,102,121,45.2,46.0,44.5,
CZ0201,530743,Bílkovice,225,113,112,45.8,45.6,46.0,
CZ0201,532380,Blažejovice,102,50,52,49.8,47.8,51.8,
CZ0201,532096,Borovnice,91,42,49,41.2,38.3,43.7,
CZ0201,532924,Bukovany,824,429,395,41.0,40.7,41.3,
CZ0201,529451,Bystřice,4698,2361,2337,42.1,41.1,43.0,
CZ0201,532690,Ctiboř,179,86,93,35.8,37.7,34.1,
CZ0201,529478,Čakov,131,67,64,38.3,36.1,40.6,
CZ0201,529486,Čechtice,1430,706,724,43.7,42.8,44.5,
CZ0201,529516,Čerčany,3133,1542,1591,41.8,40.9,42.7,
CZ0201,529532,Červený Újezd,344,167,177,43.0,43.3,42.7,
CZ0201,529541,Český Šternberk,184,91,93,44.4,45.2,43.6,
CZ0201,529567,Čtyřkoly,800,393,407,41.5,41.1,41.9,
CZ0201,532746,Děkanovice,62,32,30,45.8,45.4,46.1,
CZ0201,529621,Divišov,1831,937,894,41.8,39.6,44.2,
CZ0201,529648,Dolní Kralovice,907,454,453,44.7,42.6,46.8,
CZ0201,532151,Drahňovice,111,59,52,37.1,34.5,40.1,
CZ0201,532843,Dunice,66,37,29,45.5,43.4,48.1,
CZ0201,529702,Heřmaničky,743,370,373,43.3,43.3,43.3,
CZ0201,532932,Hradiště,35,22,13,47.6,43.0,55.5,
CZ0201,529737,Hulice,277,130,147,46.1,44.4,47.7,
CZ0201,529745,Hvězdonice,343,174,169,42.2,40.5,43.9,
CZ0201,532886,Chářovice,230,119,111,37.9,36.0,40.0,
CZ0201,532878,Chleby,49,28,21,51.5,52.1,50.5,
CZ0201,532045,Chlístov,463,235,228,37.7,36.9,38.5,
CZ0201,529770,Chlum,123,63,60,46.9,49.2,44.6,
CZ0201,529788,Chmelná,164,87,77,38.8,38.5,39.1,
CZ0201,529796,Chocerady,1383,687,696,42.5,41.8,43.1,
CZ0201,532606,Choratice,64,33,31,46.2,43.2,49.3,
CZ0201,529818,Chotýšany,670,332,338,40.1,38.7,41.4,
CZ0201,532037,Chrášťany,254,128,126,41.0,40.2,41.8,
CZ0201,529842,Jankov,914,433,481,43.6,42.2,44.9,
CZ0201,529851,Javorník,147,72,75,42.2,42.0,42.3,
CZ0201,532134,Ješetice,124,63,61,44.6,42.9,46.4,
CZ0201,531031,Kamberk,176,94,82,46.6,44.6,48.8,
CZ0201,529907,Keblov,188,98,90,43.9,43.0,44.9,
CZ0201,533084,Kladruby,288,151,137,41.3,39.5,43.2,
CZ0201,529931,Kondrac,529,259,270,40.1,40.6,39.8,
CZ0201,529940,Kozmice,429,205,224,38.6,38.0,39.2,
CZ0201,529958,Krhanice,1135,555,580,40.8,39.9,41.8,
CZ0201,529974,Krňany,507,262,245,43.8,43.0,44.7,
CZ0201,529991,Křečovice,815,411,404,43.7,42.3,45.0,
CZ0201,530000,Křivsoudov,472,238,234,43.1,42.7,43.4,
CZ0201,530026,Kuňovice,84,47,37,42.0,42.4,41.5,
CZ0201,530051,Lešany,905,449,456,40.8,40.7,40.9,
CZ0201,530069,Libež,287,146,141,37.8,37.3,38.3,
CZ0201,532258,Litichovice,75,40,35,41.5,41.4,41.6,
CZ0201,530093,Loket,620,311,309,41.2,40.0,42.4,
CZ0201,530107,Louňovice pod Blaníkem,661,324,337,44.7,43.3,46.1,
CZ0201,532193,Lštění,542,269,273,42.3,41.0,43.5,
CZ0201,530115,Maršovice,786,393,393,43.8,43.2,44.3,
CZ0201,530158,Mezno,382,196,186,43.1,41.4,45.0,
CZ0201,530166,Miličín,885,438,447,45.1,44.0,46.2,
CZ0201,530174,Miřetice,240,119,121,38.5,38.2,38.9,
CZ0201,530191,Mnichovice,221,114,107,45.4,42.3,48.7,
CZ0201,530204,Mrač,870,429,441,43.2,41.8,44.6,
CZ0201,530212,Načeradec,1118,564,554,42.9,43.5,42.3,
CZ0201,530263,Nespeky,808,391,417,42.7,42.9,42.6,
CZ0201,530298,Netvořice,1191,600,591,42.4,41.1,43.6,
CZ0201,530301,Neustupov,557,291,266,41.3,42.1,40.3,
CZ0201,530310,Neveklov,2764,1397,1367,42.5,41.9,43.1,
CZ0201,530344,Olbramovice,1397,709,688,41.5,40.3,42.8,
CZ0201,530352,Ostředek,474,238,236,40.3,40.0,40.5,
CZ0201,533076,Pavlovice,279,136,143,38.8,36.9,40.7,
CZ0201,530409,Petroupim,378,187,191,41.4,40.1,42.6,
CZ0201,532649,Popovice,299,149,150,44.2,45.2,43.2,
CZ0201,530441,Poříčí nad Sázavou,1651,818,833,39.3,38.2,40.4,
CZ0201,530450,Postupice,1464,762,702,42.0,41.4,42.6,
CZ0201,530476,Pravonín,572,310,262,43.6,41.9,45.6,
CZ0201,530492,Přestavlky u Čerčan,439,216,223,40.6,40.8,40.4,
CZ0201,530514,Psáře,146,81,65,45.4,45.3,45.4,
CZ0201,538680,Pyšely,2301,1108,1193,38.7,38.1,39.2,
CZ0201,530522,Rabyně,294,145,149,46.2,46.5,45.9,
CZ0201,530531,Radošovice,410,209,201,40.3,40.5,40.2,
CZ0201,530549,Rataje,170,83,87,44.3,44.0,44.5,
CZ0201,532550,Ratměřice,319,164,155,40.4,38.0,43.1,
CZ0201,538710,Řehenice,544,263,281,42.6,42.3,42.9,
CZ0201,532941,Řimovice,231,129,102,41.6,40.5,43.1,
CZ0201,534382,Sázava,3867,1911,1956,45.5,43.7,47.3,
